51: 0.516s
52: 1.062s
53: 2.984s
54: 3.391s
55: 6.906s
56: 7.734s
57: 19.688s
58: 21.938s
59: 22.797s
60: 24.297s
61: 25.828s
62: 28.641s
63: 28.953s
64: 29.422s
65: 30.906s
66: 31.562s
67: 34.312s
68: 34.5s
69: 42.469s
70: 43.141s
71: 43.328s
72: 43.469s
73: 43.516s
74: 43.609s
75: 43.641s
76: 43.672s
77: 44.562s
78: 45.891s
79: 46.156s
80: 46.266s
81: 47.453s
82: 47.953s
83: 48.656s
84: 48.859s
85: 48.953s
86: 49.141s
87: 50.219s
88: 50.906s
89: 51.375s
90: 51.453s
91: 51.578s
92: 52.234s
93: 54.672s
94: 54.719s
95: 54.734s
96: 55.0s
97: 56.844s
98: 61.0s
99: 62.547s
100: 63.891s
101: 70.406s
102: 70.844s
103: 71.281s
104: 71.297s
105: 71.469s
106: 71.531s
107: 71.594s
108: 71.641s
109: 71.828s
110: 71.953s
111: 72.516s
112: 72.562s
113: 73.188s
114: 73.266s
115: 73.297s
116: 73.719s
117: 74.406s
118: 77.453s
119: 78.703s
120: 78.906s
121: 79.0s
122: 79.344s
124: 79.547s
125: 79.578s
126: 79.594s
127: 79.656s
128: 80.484s
